record_id,td_sim_0,record_atd
51,87.0,87.0
116,73.0,73.0
462,51.0,51.0
730,110.0,110.0
767,43.0,43.0
831,85.0,85.0
902,26.0,26.0
953,71.0,71.0
1033,77.0,77.0
1180,78.0,78.0
1248,48.0,48.0
1356,65.0,65.0
1429,160.0,160.0
1514,107.0,107.0
1565,243.0,243.0
1746,27.0,27.0
1881,5.0,5.0
1994,91.0,91.0
2279,76.0,76.0
2496,55.0,55.0
2545,2.0,2.0
2624,62.0,62.0
2740,121.0,121.0
2803,102.0,102.0
3076,64.0,64.0
3314,98.0,98.0
3442,635.0,635.0
3608,74.0,74.0
3680,45.0,45.0
3769,38.0,38.0
3842,61.0,61.0
4154,125.0,125.0
4201,106.0,106.0
4269,68.0,68.0
4327,72.0,72.0
4377,83.0,83.0
4461,34.0,34.0
average_simulation_TD,91.02702702702703,
