record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,record_atd
51,268.0,103.0,1018.0,109.0,103.0,103.0,185.0,87.0,99.0,87.0,87.0,204.45454545454547
116,40.0,157.0,435.0,172.0,157.0,157.0,6.0,73.0,48.0,73.0,73.0,126.45454545454545
462,38.0,37.0,392.0,45.0,37.0,37.0,76.0,51.0,35.0,51.0,51.0,77.27272727272727
730,59.0,222.0,470.0,176.0,222.0,222.0,16.0,110.0,114.0,110.0,110.0,166.45454545454547
767,81.0,116.0,552.0,127.0,116.0,116.0,109.0,43.0,120.0,43.0,43.0,133.27272727272728
831,43.0,127.0,411.0,139.0,127.0,127.0,52.0,85.0,121.0,85.0,85.0,127.45454545454545
902,104.0,58.0,568.0,57.0,58.0,58.0,124.0,26.0,53.0,26.0,26.0,105.27272727272727
953,14.0,43.0,413.0,53.0,43.0,43.0,70.0,71.0,44.0,71.0,71.0,85.0909090909091
1033,86.0,84.0,730.0,104.0,84.0,84.0,23.0,77.0,91.0,77.0,77.0,137.9090909090909
1180,109.0,85.0,501.0,108.0,85.0,85.0,22.0,78.0,92.0,78.0,78.0,120.0909090909091
1248,137.0,71.0,434.0,71.0,71.0,71.0,121.0,48.0,112.0,48.0,48.0,112.0
1356,46.0,92.0,361.0,80.0,92.0,92.0,41.0,65.0,75.0,65.0,65.0,97.63636363636364
1429,281.0,111.0,502.0,101.0,111.0,111.0,584.0,160.0,170.0,160.0,160.0,222.8181818181818
1514,27.0,108.0,376.0,94.0,108.0,108.0,17.0,107.0,130.0,107.0,107.0,117.18181818181819
1565,165.0,161.0,244.0,142.0,161.0,161.0,159.0,243.0,220.0,243.0,243.0,194.72727272727272
1746,116.0,59.0,571.0,58.0,59.0,59.0,148.0,27.0,55.0,27.0,27.0,109.63636363636364
1881,980.0,6.0,629.0,6.0,6.0,6.0,1266.0,5.0,5.0,5.0,5.0,265.3636363636364
1994,63.0,175.0,450.0,170.0,175.0,175.0,67.0,91.0,70.0,91.0,91.0,147.0909090909091
2279,53.0,94.0,579.0,105.0,94.0,94.0,12.0,76.0,89.0,76.0,76.0,122.54545454545455
2496,35.0,36.0,302.0,32.0,36.0,36.0,7.0,55.0,31.0,55.0,55.0,61.81818181818182
2545,135.0,3.0,545.0,3.0,3.0,3.0,349.0,2.0,2.0,2.0,2.0,95.36363636363636
2624,67.0,99.0,360.0,83.0,99.0,99.0,53.0,62.0,76.0,62.0,62.0,102.0
2740,469.0,155.0,1707.0,152.0,155.0,155.0,31.0,121.0,116.0,121.0,121.0,300.27272727272725
2803,173.0,95.0,488.0,86.0,95.0,95.0,386.0,102.0,83.0,102.0,102.0,164.27272727272728
3076,92.0,90.0,311.0,84.0,90.0,90.0,103.0,64.0,72.0,64.0,64.0,102.18181818181819
3314,220.0,123.0,506.0,126.0,123.0,123.0,131.0,98.0,137.0,98.0,98.0,162.0909090909091
3442,148.0,984.0,1223.0,1069.0,984.0,984.0,114.0,635.0,611.0,635.0,635.0,729.2727272727273
3608,100.0,91.0,494.0,110.0,91.0,91.0,25.0,74.0,85.0,74.0,74.0,119.0
3680,143.0,56.0,260.0,69.0,56.0,56.0,116.0,45.0,52.0,45.0,45.0,85.72727272727273
3769,54.0,63.0,440.0,65.0,63.0,63.0,62.0,38.0,60.0,38.0,38.0,89.45454545454545
3842,50.0,82.0,353.0,82.0,82.0,82.0,86.0,61.0,65.0,61.0,61.0,96.81818181818181
4154,57.0,176.0,262.0,167.0,176.0,176.0,66.0,125.0,71.0,125.0,125.0,138.72727272727272
4201,41.0,112.0,478.0,121.0,112.0,112.0,11.0,106.0,106.0,106.0,106.0,128.27272727272728
4269,89.0,93.0,537.0,111.0,93.0,93.0,14.0,68.0,84.0,68.0,68.0,119.81818181818181
4327,32.0,51.0,835.0,89.0,51.0,51.0,50.0,72.0,64.0,72.0,72.0,130.8181818181818
4377,23.0,44.0,369.0,75.0,44.0,44.0,68.0,83.0,45.0,83.0,83.0,87.36363636363636
4461,45.0,55.0,15.0,56.0,55.0,55.0,57.0,34.0,51.0,34.0,34.0,44.63636363636363
average_simulation_TD,126.56756756756756,116.67567567567568,516.7837837837837,121.54054054054055,116.67567567567568,116.67567567567568,130.45945945945945,91.02702702702703,96.05405405405405,91.02702702702703,91.02702702702703,
