Combination,Runtime (seconds),Average GPU Utilization (%)
logistic + sbert_zscore_minmax,211.83,7
logistic + sbert_pareto_minmax,222.69,15
logistic + sbert_l2_normalize_minmax,219.2,15
logistic + sbert_zscore_absmin,286.57,11
logistic + sbert_pareto_absmin,246.34,13
logistic + sbert_l2_normalize_absmin,197.53,17
logistic + sbert_zscore_sqrt,229.52,14
logistic + sbert_pareto_sqrt,217.22,15
logistic + sbert_l2_normalize_sqrt,244.6,13
logistic + sbert_zscore_cdf,249.95,13
logistic + sbert_pareto_cdf,248.5,13
logistic + sbert_l2_normalize_cdf,255.45,13
logistic + sbert_zscore_sigmoid,258.15,13
logistic + sbert_pareto_sigmoid,208.71,16
logistic + sbert_l2_normalize_sigmoid,202.37,16
logistic + sbertminmax,150.21,22
logistic + sbertabsmin,210.78,16
logistic + sbertsigmoid,209.91,16
logistic + sbert_cdf,254.31,13
logistic + sbert,205.49,16
nb + sbert_zscore_minmax,181.64,18
nb + sbert_pareto_minmax,181.36,18
nb + sbert_l2_normalize_minmax,182.31,18
nb + sbert_zscore_absmin,183.94,18
nb + sbert_pareto_absmin,186.29,18
nb + sbert_l2_normalize_absmin,174.16,19
nb + sbert_zscore_sqrt,189.5,18
nb + sbert_pareto_sqrt,198.1,17
nb + sbert_l2_normalize_sqrt,193.16,17
nb + sbert_zscore_cdf,172.24,19
nb + sbert_pareto_cdf,174.24,19
nb + sbert_l2_normalize_cdf,175.9,19
nb + sbert_zscore_sigmoid,187.01,18
nb + sbert_pareto_sigmoid,188.79,18
nb + sbert_l2_normalize_sigmoid,181.42,18
nb + sbertminmax,150.91,22
nb + sbertabsmin,181.91,18
nb + sbertsigmoid,188.09,18
nb + sbert_cdf,174.05,19
nb + sbert,85.14,0
